id,publication_year,cited_by_count,author_ids
https://openalex.org/W2295319788,2016.0,28,"[""https://openalex.org/A5054944358"", ""https://openalex.org/A5000073913""]"
https://openalex.org/W4289262105,2022.0,25,"[""https://openalex.org/A5052448363"", ""https://openalex.org/A5000127146""]"
https://openalex.org/W2036093737,2009.0,24,"[""https://openalex.org/A5000083284"", ""https://openalex.org/A5081393566""]"
https://openalex.org/W2155949917,2015.0,24,"[""https://openalex.org/A5069885696"", ""https://openalex.org/A5000162290""]"
https://openalex.org/W2148622179,2010.0,19,"[""https://openalex.org/A5055053078"", ""https://openalex.org/A5000246394""]"
https://openalex.org/W2544166375,2009.0,19,"[""https://openalex.org/A5082178717"", ""https://openalex.org/A5055053078"", ""https://openalex.org/A5000246394""]"
https://openalex.org/W3211330494,2021.0,19,"[""https://openalex.org/A5087366777"", ""https://openalex.org/A5000196398"", ""https://openalex.org/A5061885925"", ""https://openalex.org/A5088947425""]"
https://openalex.org/W2554713700,2016.0,16,"[""https://openalex.org/A5033933034"", ""https://openalex.org/A5000035181""]"
https://openalex.org/W2988080407,2019.0,13,"[""https://openalex.org/A5079740027"", ""https://openalex.org/A5000204548"", ""https://openalex.org/A5065364149"", ""https://openalex.org/A5101904251""]"
https://openalex.org/W3201990192,2021.0,12,"[""https://openalex.org/A5000176068"", ""https://openalex.org/A5022243584""]"
https://openalex.org/W1559166661,2001.0,77,"[""https://openalex.org/A5101793577"", ""https://openalex.org/A5000107760""]"
https://openalex.org/W2049272803,1999.0,59,"[""https://openalex.org/A5000127146"", ""https://openalex.org/A5103437197"", ""https://openalex.org/A5038755271""]"
https://openalex.org/W4234652386,2011.0,33,"[""https://openalex.org/A5082178717"", ""https://openalex.org/A5055053078"", ""https://openalex.org/A5000246394""]"
https://openalex.org/W2737661516,2017.0,21,"[""https://openalex.org/A5068978955"", ""https://openalex.org/A5000107225""]"
https://openalex.org/W2756148933,2017.0,21,"[""https://openalex.org/A5000246394"", ""https://openalex.org/A5027171279""]"
https://openalex.org/W2092580586,2009.0,19,"[""https://openalex.org/A5000035181"", ""https://openalex.org/A5007739277""]"
https://openalex.org/W2090674183,2009.0,18,"[""https://openalex.org/A5007739277"", ""https://openalex.org/A5000035181""]"
https://openalex.org/W2995318735,2019.0,15,"[""https://openalex.org/A5112297455"", ""https://openalex.org/A5000246394""]"
https://openalex.org/W4210865312,2022.0,15,"[""https://openalex.org/A5000176068"", ""https://openalex.org/A5047312329""]"
https://openalex.org/W2567321324,2016.0,14,"[""https://openalex.org/A5079740027"", ""https://openalex.org/A5000204548"", ""https://openalex.org/A5100678842"", ""https://openalex.org/A5065364149"", ""https://openalex.org/A5083708332"", ""https://openalex.org/A5101904251""]"
https://openalex.org/W3005834188,2020.0,14,"[""https://openalex.org/A5002055143"", ""https://openalex.org/A5000035181""]"
https://openalex.org/W189976719,1996.0,51,"[""https://openalex.org/A5000107760"", ""https://openalex.org/A5070856464""]"
https://openalex.org/W2124937517,2006.0,36,"[""https://openalex.org/A5000107760"", ""https://openalex.org/A5108541589""]"
https://openalex.org/W2112367671,2003.0,33,"[""https://openalex.org/A5007739277"", ""https://openalex.org/A5000035181""]"
https://openalex.org/W2089858829,2001.0,27,"[""https://openalex.org/A5007739277"", ""https://openalex.org/A5000035181""]"
https://openalex.org/W2157760308,2009.0,24,"[""https://openalex.org/A5000246394"", ""https://openalex.org/A5055053078""]"
https://openalex.org/W1539331521,2000.0,39,"[""https://openalex.org/A5000107760"", ""https://openalex.org/A5018098888""]"
https://openalex.org/W2052387204,2006.0,24,"[""https://openalex.org/A5064274071"", ""https://openalex.org/A5000038347""]"
https://openalex.org/W1593450046,2007.0,15,"[""https://openalex.org/A5000005989"", ""https://openalex.org/A5044286419"", ""https://openalex.org/A5076126290""]"
https://openalex.org/W2030785184,2006.0,13,"[""https://openalex.org/A5000035181"", ""https://openalex.org/A5064601780""]"
https://openalex.org/W2417262652,2013.0,13,"[""https://openalex.org/A5000083284"", ""https://openalex.org/A5081393566""]"
https://openalex.org/W2048673658,2000.0,67,"[""https://openalex.org/A5000107760"", ""https://openalex.org/A5018098888""]"
https://openalex.org/W3120123472,2021.0,18,"[""https://openalex.org/A5000246394"", ""https://openalex.org/A5087366916""]"
https://openalex.org/W3094500738,2020.0,14,"[""https://openalex.org/A5108690891"", ""https://openalex.org/A5060225743"", ""https://openalex.org/A5000188096""]"
https://openalex.org/W2949681671,2018.0,11,"[""https://openalex.org/A5000188096"", ""https://openalex.org/A5107337645""]"
https://openalex.org/W2553110962,2016.0,684,"[""https://openalex.org/A5029015389"", ""https://openalex.org/A5042386213"", ""https://openalex.org/A5000027643"", ""https://openalex.org/A5065188738"", ""https://openalex.org/A5083007909""]"
