query_name,id,display_name,works_api_url,h_index,works_count,country_code,matched
Mihály Fazekas,https://openalex.org/A5090872107,Mihály Fazekas,https://api.openalex.org/works?filter=author.id:A5090872107,28.0,161.0,AT,True
Miia Bask,https://openalex.org/A5070916458,Miia Bask,https://api.openalex.org/works?filter=author.id:A5070916458,10.0,44.0,SE,True
Mikael Bask,https://openalex.org/A5091517270,Mikael Bask,https://api.openalex.org/works?filter=author.id:A5091517270,19.0,87.0,SE,True
Mike Conway,https://openalex.org/A5082051013,Mike Conway,https://api.openalex.org/works?filter=author.id:A5082051013,31.0,220.0,AU,True
Mikhail Tamm,https://openalex.org/A5062286782,Tamm Mikhail,https://api.openalex.org/works?filter=author.id:A5062286782,0.0,1.0,RU,True
Mikko Kivelä,https://openalex.org/A5002020728,Mikko Kivelä,https://api.openalex.org/works?filter=author.id:A5002020728,22.0,118.0,FI,True
Mila Oiva,https://openalex.org/A5012681383,Mila Oiva,https://api.openalex.org/works?filter=author.id:A5012681383,5.0,43.0,EE,True
Milena Tsvetkova,https://openalex.org/A5069791094,Milena Tsvetkova,https://api.openalex.org/works?filter=author.id:A5069791094,12.0,76.0,GB,True
Miner Ye,,,,,,,False
Mingmeng Geng,https://openalex.org/A5095699509,Mingmeng Geng,https://api.openalex.org/works?filter=author.id:A5095699509,1.0,6.0,,True
Mingmin Feng,https://openalex.org/A5032616680,Mingmin Feng,https://api.openalex.org/works?filter=author.id:A5032616680,1.0,2.0,US,True
Mingqian Zheng,https://openalex.org/A5024099895,Mingqian Zheng,https://api.openalex.org/works?filter=author.id:A5024099895,3.0,8.0,,True
Mingxuan Zheng,https://openalex.org/A5040835218,Mingxuan Zheng,https://api.openalex.org/works?filter=author.id:A5040835218,14.0,28.0,CN,True
Minji Heo,https://openalex.org/A5083439440,Minji Heo,https://api.openalex.org/works?filter=author.id:A5083439440,1.0,1.0,KR,True
Minjin Lee,https://openalex.org/A5101976280,Minjin Lee,https://api.openalex.org/works?filter=author.id:A5101976280,9.0,26.0,KR,True
Minsu Park,https://openalex.org/A5013939121,Seokwoo Jeon,https://api.openalex.org/works?filter=author.id:A5013939121,65.0,288.0,TH,True
Mirco Nanni,https://openalex.org/A5009248582,Mirco Nanni,https://api.openalex.org/works?filter=author.id:A5009248582,26.0,155.0,IT,True
Miriam Hurtado Bodell,https://openalex.org/A5057262624,Miriam Hurtado Bodell,https://api.openalex.org/works?filter=author.id:A5057262624,3.0,12.0,,True
Miriam Schirmer,https://openalex.org/A5036764962,Miriam Schirmer,https://api.openalex.org/works?filter=author.id:A5036764962,3.0,13.0,,True
Mirjam Stieger,https://openalex.org/A5048615562,Mirjam Stieger,https://api.openalex.org/works?filter=author.id:A5048615562,14.0,43.0,CH,True
