id,display_name,works_api_url,h_index,works_count,cited_by_count,country_code
https://openalex.org/A5010601798,Pablo Barberá,https://api.openalex.org/works?filter=author.id:A5010601798,33,204,10145,US
https://openalex.org/A5010637524,Hao Su,https://api.openalex.org/works?filter=author.id:A5010637524,46,194,17744,CN
https://openalex.org/A5010646067,Sharath Chandra Guntuku,https://api.openalex.org/works?filter=author.id:A5010646067,34,191,4035,US
https://openalex.org/A5010758003,Tommy L. Brown,https://api.openalex.org/works?filter=author.id:A5010758003,22,186,2214,CA
https://openalex.org/A5010593676,James A. R. Marshall,https://api.openalex.org/works?filter=author.id:A5010593676,37,172,4612,IN
https://openalex.org/A5010797607,Melanie E. Moses,https://api.openalex.org/works?filter=author.id:A5010797607,29,169,3622,US
https://openalex.org/A5010616841,Arun Sundararajan,https://api.openalex.org/works?filter=author.id:A5010616841,33,161,5750,US
https://openalex.org/A5010748298,Xiaoming Dong,https://api.openalex.org/works?filter=author.id:A5010748298,25,158,1744,CN
https://openalex.org/A5010652164,Bertram Scheufele,https://api.openalex.org/works?filter=author.id:A5010652164,17,144,1165,
https://openalex.org/A5010741021,Monique K. LeBourgeois,https://api.openalex.org/works?filter=author.id:A5010741021,48,138,7063,US
https://openalex.org/A5010786722,Philip Teitelbaum,https://api.openalex.org/works?filter=author.id:A5010786722,48,136,9898,
https://openalex.org/A5010602246,Michael X. Delli Carpini,https://api.openalex.org/works?filter=author.id:A5010602246,31,130,11203,
https://openalex.org/A5010647855,Thomas Stark,https://api.openalex.org/works?filter=author.id:A5010647855,21,128,1872,
https://openalex.org/A5010637153,Rosta Farzan,https://api.openalex.org/works?filter=author.id:A5010637153,20,111,1947,US
https://openalex.org/A5010676573,Johanna Hepp,https://api.openalex.org/works?filter=author.id:A5010676573,19,96,1228,DE
https://openalex.org/A5010655577,Tuan Q. Phan,https://api.openalex.org/works?filter=author.id:A5010655577,13,92,1975,VN
https://openalex.org/A5010688734,Michael Hiete,https://api.openalex.org/works?filter=author.id:A5010688734,20,92,1649,DE
https://openalex.org/A5010713031,Qianshan He,https://api.openalex.org/works?filter=author.id:A5010713031,24,86,1606,CN
https://openalex.org/A5010721627,Andrea Révész,https://api.openalex.org/works?filter=author.id:A5010721627,29,86,3503,PK
https://openalex.org/A5010771862,Mei Lu,https://api.openalex.org/works?filter=author.id:A5010771862,13,73,881,CN
https://openalex.org/A5010686382,Tilo Grenz,https://api.openalex.org/works?filter=author.id:A5010686382,10,56,320,CH
https://openalex.org/A5010687341,Ciera Jaspan,https://api.openalex.org/works?filter=author.id:A5010687341,16,54,1174,US
https://openalex.org/A5010728482,Michelle A. Kline,https://api.openalex.org/works?filter=author.id:A5010728482,20,52,2427,US
https://openalex.org/A5010813153,Alessandra de Ávila Montini,https://api.openalex.org/works?filter=author.id:A5010813153,5,51,263,BR
https://openalex.org/A5010637429,Barton E. Lee,https://api.openalex.org/works?filter=author.id:A5010637429,7,48,210,CH
https://openalex.org/A5010746851,Chun-hung Li,https://api.openalex.org/works?filter=author.id:A5010746851,11,42,509,
https://openalex.org/A5010644779,Xiaoya Chang,https://api.openalex.org/works?filter=author.id:A5010644779,18,40,746,FI
https://openalex.org/A5010744032,Daniel Escobar-Grisales,https://api.openalex.org/works?filter=author.id:A5010744032,7,32,180,CO
https://openalex.org/A5010582057,Yiyou Sun,https://api.openalex.org/works?filter=author.id:A5010582057,12,28,877,
https://openalex.org/A5010626848,Joshua T. Abbott,https://api.openalex.org/works?filter=author.id:A5010626848,13,27,859,AU
https://openalex.org/A5010567079,Junjun Pan,https://api.openalex.org/works?filter=author.id:A5010567079,8,26,220,HK
https://openalex.org/A5010572016,Courtney N. Haller,https://api.openalex.org/works?filter=author.id:A5010572016,5,26,75,US
https://openalex.org/A5010743073,You-qin He,https://api.openalex.org/works?filter=author.id:A5010743073,1,18,11,CN
https://openalex.org/A5010576828,Naveen Khetarpal,https://api.openalex.org/works?filter=author.id:A5010576828,7,15,721,US
https://openalex.org/A5010649773,Harita Reddy,https://api.openalex.org/works?filter=author.id:A5010649773,6,10,184,US
https://openalex.org/A5010679625,Noshir Contractor,https://api.openalex.org/works?filter=author.id:A5010679625,5,10,749,US
https://openalex.org/A5010658384,Sowon Jeon,https://api.openalex.org/works?filter=author.id:A5010658384,4,9,64,KR
https://openalex.org/A5010677289,Sophia E. Dolan,https://api.openalex.org/works?filter=author.id:A5010677289,2,3,104,US
https://openalex.org/A5010827953,Jonah Lubin,https://api.openalex.org/works?filter=author.id:A5010827953,2,3,17,US
https://openalex.org/A5010634348,Nora Kořánová,https://api.openalex.org/works?filter=author.id:A5010634348,2,2,67,DE
https://openalex.org/A5010766332,Sonia Alonso Saenz De Oger,https://api.openalex.org/works?filter=author.id:A5010766332,2,2,26,US
https://openalex.org/A5010639557,Justin Souvenir Niweteto,https://api.openalex.org/works?filter=author.id:A5010639557,1,1,14,RW
https://openalex.org/A5010717982,Chiu‐Han Wang,https://api.openalex.org/works?filter=author.id:A5010717982,1,1,40,US
https://openalex.org/A5010763256,Y-M. De Hauwere,https://api.openalex.org/works?filter=author.id:A5010763256,1,1,189,
https://openalex.org/A5011041473,Robert Klopfleisch,https://api.openalex.org/works?filter=author.id:A5011041473,49,1315,9507,DE
https://openalex.org/A5010967678,Katri Räikkönen,https://api.openalex.org/works?filter=author.id:A5010967678,99,852,37293,
https://openalex.org/A5010914606,Bram Vanderborght,https://api.openalex.org/works?filter=author.id:A5010914606,63,713,17258,BE
https://openalex.org/A5010940647,Dorothy Bishop,https://api.openalex.org/works?filter=author.id:A5010940647,114,705,49789,GB
https://openalex.org/A5010835736,Marie Vidailhet,https://api.openalex.org/works?filter=author.id:A5010835736,95,665,35133,
https://openalex.org/A5010851725,David Forsyth,https://api.openalex.org/works?filter=author.id:A5010851725,74,647,30025,US
https://openalex.org/A5010999876,Stuart Cunningham,https://api.openalex.org/works?filter=author.id:A5010999876,35,438,6082,AU
https://openalex.org/A5011020333,Steven Feiner,https://api.openalex.org/works?filter=author.id:A5011020333,66,394,21296,US
https://openalex.org/A5010984350,James Martin,https://api.openalex.org/works?filter=author.id:A5010984350,48,385,16276,US
https://openalex.org/A5010974487,Qiang Qu,https://api.openalex.org/works?filter=author.id:A5010974487,41,304,6137,CN
https://openalex.org/A5010924288,Brendan Nyhan,https://api.openalex.org/works?filter=author.id:A5010924288,52,267,24867,US
https://openalex.org/A5010965658,Christian Sander,https://api.openalex.org/works?filter=author.id:A5010965658,54,255,27942,DE
https://openalex.org/A5010996988,David M. Schnyer,https://api.openalex.org/works?filter=author.id:A5010996988,64,239,17204,US
https://openalex.org/A5011005696,James Scott,https://api.openalex.org/works?filter=author.id:A5011005696,46,239,10834,DK
https://openalex.org/A5010923592,Rifat Sipahi,https://api.openalex.org/works?filter=author.id:A5010923592,32,233,4706,US
https://openalex.org/A5011064825,Sabine Einwiller,https://api.openalex.org/works?filter=author.id:A5011064825,31,180,3311,
https://openalex.org/A5011014926,Heather L. Gainforth,https://api.openalex.org/works?filter=author.id:A5011014926,27,152,3159,CA
https://openalex.org/A5011070646,Xinxiao Wu,https://api.openalex.org/works?filter=author.id:A5011070646,21,124,1815,
https://openalex.org/A5011012964,Cristian Danescu-Niculescu-Mizil,https://api.openalex.org/works?filter=author.id:A5011012964,36,109,5480,US
https://openalex.org/A5011070316,Yun Wu,https://api.openalex.org/works?filter=author.id:A5011070316,10,95,404,CN
https://openalex.org/A5010965332,Yangyang Jiang,https://api.openalex.org/works?filter=author.id:A5010965332,23,91,3068,CN
https://openalex.org/A5010904023,Federico Cecconi,https://api.openalex.org/works?filter=author.id:A5010904023,17,87,3483,IT
https://openalex.org/A5010862157,Yeong‐Hyeon Hwang,https://api.openalex.org/works?filter=author.id:A5010862157,19,80,1479,KR
https://openalex.org/A5010961050,Lu Chen,https://api.openalex.org/works?filter=author.id:A5010961050,15,80,602,CN
https://openalex.org/A5010979979,Peter Lugtig,https://api.openalex.org/works?filter=author.id:A5010979979,23,78,3702,NL
https://openalex.org/A5010860210,Eiluned Pearce,https://api.openalex.org/works?filter=author.id:A5010860210,26,67,3767,GB
https://openalex.org/A5010879920,Mattia Samory,https://api.openalex.org/works?filter=author.id:A5010879920,13,61,864,
https://openalex.org/A5010952532,Farzin Kazemi,https://api.openalex.org/works?filter=author.id:A5010952532,27,57,2382,PL
https://openalex.org/A5011008703,Paul C. Squires,https://api.openalex.org/works?filter=author.id:A5011008703,9,55,227,US
https://openalex.org/A5011073725,Candice Moore,https://api.openalex.org/works?filter=author.id:A5011073725,11,54,381,ZA
https://openalex.org/A5010941899,Brett A. Murphy,https://api.openalex.org/works?filter=author.id:A5010941899,13,53,708,US
https://openalex.org/A5010858012,Claudia Schmidt,https://api.openalex.org/works?filter=author.id:A5010858012,16,52,1318,CH
https://openalex.org/A5011053835,Michael Levit,https://api.openalex.org/works?filter=author.id:A5011053835,10,51,669,IL
https://openalex.org/A5011015504,Inioluwa Deborah Raji,https://api.openalex.org/works?filter=author.id:A5011015504,19,34,3229,
https://openalex.org/A5010992173,Marta Olcoń-Kubicka,https://api.openalex.org/works?filter=author.id:A5010992173,8,30,175,
https://openalex.org/A5010879670,Laura Spinsanti,https://api.openalex.org/works?filter=author.id:A5010879670,11,28,681,
https://openalex.org/A5010989710,Xiaodi Hou,https://api.openalex.org/works?filter=author.id:A5010989710,15,22,9777,
https://openalex.org/A5010883283,Miriam Boon,https://api.openalex.org/works?filter=author.id:A5010883283,5,20,98,CA
https://openalex.org/A5010966904,Michele Avalle,https://api.openalex.org/works?filter=author.id:A5010966904,6,18,261,
https://openalex.org/A5010911306,Garry Collins,https://api.openalex.org/works?filter=author.id:A5010911306,3,13,33,GB
https://openalex.org/A5010913808,Ning Wang,https://api.openalex.org/works?filter=author.id:A5010913808,11,13,1100,
https://openalex.org/A5010889372,Minye Jin,https://api.openalex.org/works?filter=author.id:A5010889372,3,11,47,NL
https://openalex.org/A5010878154,Tommy Enkvist,https://api.openalex.org/works?filter=author.id:A5010878154,4,8,120,SE
https://openalex.org/A5010901808,Ifna Ejebe,https://api.openalex.org/works?filter=author.id:A5010901808,5,8,101,US
https://openalex.org/A5010873235,Abigail Mancinelli,https://api.openalex.org/works?filter=author.id:A5010873235,2,5,23,US
https://openalex.org/A5010962560,Sara Bunian,https://api.openalex.org/works?filter=author.id:A5010962560,4,5,90,US
https://openalex.org/A5010828486,Sebastian Schnorf,https://api.openalex.org/works?filter=author.id:A5010828486,3,4,83,US
https://openalex.org/A5010862966,Sophie Melville,https://api.openalex.org/works?filter=author.id:A5010862966,1,3,17,GB
https://openalex.org/A5011045460,Chaitrali Gandhi,https://api.openalex.org/works?filter=author.id:A5011045460,1,2,140,US
https://openalex.org/A5010840654,Mirjam Hausherr,https://api.openalex.org/works?filter=author.id:A5010840654,1,1,83,
https://openalex.org/A5011216396,Rinaldo Bellomo,https://api.openalex.org/works?filter=author.id:A5011216396,180,3345,173931,AU
https://openalex.org/A5011176205,Stephen Boyd,https://api.openalex.org/works?filter=author.id:A5011176205,121,776,139349,US
https://openalex.org/A5011137701,Jeffry A. Simpson,https://api.openalex.org/works?filter=author.id:A5011137701,95,502,33863,US
https://openalex.org/A5011283319,Ellen Nolte,https://api.openalex.org/works?filter=author.id:A5011283319,46,417,10380,GB
https://openalex.org/A5011271066,Marco A. Janssen,https://api.openalex.org/works?filter=author.id:A5011271066,66,379,22634,US
https://openalex.org/A5011148802,Ben Kravitz,https://api.openalex.org/works?filter=author.id:A5011148802,60,371,11499,US
https://openalex.org/A5011264094,Joachim Krug,https://api.openalex.org/works?filter=author.id:A5011264094,60,319,12749,DE
https://openalex.org/A5011256345,S. Redner,https://api.openalex.org/works?filter=author.id:A5011256345,67,302,19058,US
https://openalex.org/A5011102356,Pascal Boyer,https://api.openalex.org/works?filter=author.id:A5011102356,52,297,11966,US
https://openalex.org/A5011244614,Philip Brisk,https://api.openalex.org/works?filter=author.id:A5011244614,31,212,3546,US
https://openalex.org/A5011274467,Jian Yao,https://api.openalex.org/works?filter=author.id:A5011274467,34,208,6230,CN
https://openalex.org/A5011149012,Helen Nissenbaum,https://api.openalex.org/works?filter=author.id:A5011149012,45,183,12732,US
https://openalex.org/A5011229206,Vivek K. Singh,https://api.openalex.org/works?filter=author.id:A5011229206,27,173,2936,US
https://openalex.org/A5011286833,Laura Johnson,https://api.openalex.org/works?filter=author.id:A5011286833,36,173,7330,US
https://openalex.org/A5011196998,Puhong Zhang,https://api.openalex.org/works?filter=author.id:A5011196998,29,168,2540,CN
https://openalex.org/A5011123851,Jérôme Boudy,https://api.openalex.org/works?filter=author.id:A5011123851,17,156,1371,FR
https://openalex.org/A5011170714,Young Min Baek,https://api.openalex.org/works?filter=author.id:A5011170714,29,150,4067,KR
https://openalex.org/A5011249925,Wei Jiang,https://api.openalex.org/works?filter=author.id:A5011249925,22,150,1404,
https://openalex.org/A5011195801,Geoff Walsham,https://api.openalex.org/works?filter=author.id:A5011195801,50,139,17379,GB
https://openalex.org/A5011282399,Peter Goldblatt,https://api.openalex.org/works?filter=author.id:A5011282399,37,121,7425,GB
https://openalex.org/A5011348808,Ming Hsu,https://api.openalex.org/works?filter=author.id:A5011348808,31,116,6288,US
https://openalex.org/A5011178134,Aron Culotta,https://api.openalex.org/works?filter=author.id:A5011178134,36,110,5603,US
https://openalex.org/A5011107678,Kai Zhou,https://api.openalex.org/works?filter=author.id:A5011107678,16,105,773,HK
https://openalex.org/A5011183160,Subhro Das,https://api.openalex.org/works?filter=author.id:A5011183160,12,89,768,US
https://openalex.org/A5011154045,Yu Xiao,https://api.openalex.org/works?filter=author.id:A5011154045,23,74,2117,CN
https://openalex.org/A5011099878,Gabriele Chierchia,https://api.openalex.org/works?filter=author.id:A5011099878,14,68,924,
https://openalex.org/A5011119419,Jason Abaluck,https://api.openalex.org/works?filter=author.id:A5011119419,19,67,2226,US
https://openalex.org/A5011309901,Jasperina Brouwer,https://api.openalex.org/works?filter=author.id:A5011309901,16,62,1767,NL
https://openalex.org/A5011090827,Carl P. Schmertmann,https://api.openalex.org/works?filter=author.id:A5011090827,19,59,1464,US
https://openalex.org/A5011098514,Alessandro Rozza,https://api.openalex.org/works?filter=author.id:A5011098514,16,53,3752,
